sampno,vehno,vehyear,make,make_o,model,model_o,body,body_o,fuel,fuel_o,transp,parkd,parkd_o
30006886,1,2008,20,-1,20022,-1,1,-1,1,-1,2,2,-1
30006886,2,2007,22,-1,22032,-1,1,-1,1,-1,1,2,-1
30006991,1,2016,12,-1,12037,-1,1,-1,1,-1,1,1,-1
30006991,2,2005,2,-1,2404,-1,3,-1,1,-1,2,3,-1
30006991,3,2000,22,-1,22022,-1,1,-1,1,-1,1,1,-1
30007131,1,2013,37,-1,37031,-1,1,-1,1,-1,1,1,-1
30007142,1,2014,35,-1,35050,-1,1,-1,1,-1,1,3,-1
30007211,1,2008,37,-1,37402,-1,3,-1,1,-1,1,3,-1
30007333,1,2010,48,-1,48401,-1,3,-1,1,-1,1,2,-1
30007392,1,2013,55,-1,55035,-1,1,-1,1,-1,1,3,-1
30007412,1,2005,23,-1,23401,-1,3,-1,1,-1,1,3,-1
30007412,2,1999,41,-1,41471,-1,4,-1,1,-1,1,2,-1
30007412,3,2012,98,-1,99739,-1,7,-1,1,-1,2,3,-1
30007447,1,2014,41,-1,41051,-1,1,-1,1,-1,1,3,-1
30007447,2,2014,37,-1,37441,-1,2,-1,1,-1,1,3,-1
30007462,1,2011,20,-1,20025,-1,1,-1,1,-1,1,3,-1
30007462,2,2011,23,-1,23880,-1,4,-1,1,-1,1,2,-1
30007530,1,2000,35,-1,35039,-1,1,-1,1,-1,1,3,-1
30007532,1,2003,18,-1,18007,-1,1,-1,1,-1,2,3,-1
30007584,1,2011,37,-1,37037,-1,1,-1,3,-1,1,1,-1
30007584,2,2011,37,-1,37039,-1,1,-1,1,-1,1,1,-1
30007686,1,2016,55,-1,55033,-1,1,-1,3,-1,1,2,-1
30007706,1,2008,37,-1,37031,-1,1,-1,3,-1,1,2,-1
30007735,1,2013,7,-1,7029,-1,1,-1,1,-1,1,3,-1
30007735,2,1999,69,-1,69035,-1,1,-1,1,-1,2,3,-1
30007735,3,1967,12,-1,12003,-1,1,-1,1,-1,2,3,-1
30007741,1,2009,48,-1,48401,-1,1,-1,1,-1,1,3,-1
30007741,2,2005,37,-1,37421,-1,3,-1,1,-1,1,3,-1
30007752,1,2012,37,-1,37031,-1,1,-1,1,-1,1,2,-1
30007777,1,2018,37,-1,37441,-1,2,-1,1,-1,1,3,-1
30007777,2,2012,55,-1,55033,-1,1,-1,1,-1,1,3,-1
30007861,1,2010,41,-1,41053,-1,3,-1,1,-1,1,2,-1
30007861,2,2007,20,-1,20002,-1,1,-1,1,-1,1,2,-1
30007875,1,2006,49,-1,49040,-1,1,-1,1,-1,2,2,-1
30007944,1,2014,32,-1,32043,-1,1,-1,1,-1,1,3,-1
30007944,2,2004,22,-1,22008,-1,1,-1,1,-1,1,3,-1
30007959,1,2016,20,-1,20473,-1,4,-1,1,-1,1,3,-1
30007959,2,2015,-8,-1,69054,-1,1,-1,1,-1,1,3,-1
30007959,3,2007,72,-1,72706,-1,7,-1,1,-1,2,3,-1
